
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
0 13358 11825 13358
1 12337 48 12591.5
2 24932 24948 6192.5
3 -20208 2 24940.0
4 0 0 -10103.0
5 1865 1865 0.0
6 3725 3725 1865.0
7 5573 5573 3725.0
8 7403 7403 5573.0
9 9209 9209 7403.0
10 10984 10984 9209.0
11 12725 12725 10984.0
12 14423 14423 12725.0
13 16075 16075 14423.0
14 17675 17675 16075.0
15 19218 19218 17675.0
16 20698 20698 19218.0
17 22110 22110 20698.0
18 23451 23451 22110.0
19 24716 24716 23451.0
20 25901 25901 24716.0
21 27001 27001 25901.0
22 28014 28014 27001.0
23 28936 28936 28014.0
24 29764 29764 28936.0
25 30495 30495 29764.0
26 31127 31127 30495.0
27 31658 31658 31127.0
28 32087 32087 31658.0
29 32411 32411 32087.0
30 32630 32630 32411.0
31 32743 32743 32630.0
32 32749 32749 32743.0
33 32650 32650 32749.0
34 32444 32444 32650.0
35 32133 32133 32444.0
36 31717 31717 32133.0
37 31199 31199 31717.0
38 30579 30579 31199.0
39 29860 29860 30579.0
40 29044 29044 29860.0
41 28134 28134 29044.0
42 27133 27133 28134.0
43 26043 26043 27133.0
44 24869 24869 26043.0
45 23614 23614 24869.0
46 22282 22282 23614.0
47 20878 20878 22282.0
48 19406 19406 20878.0
49 17871 17871 19406.0
50 16278 16278 17871.0
51 14633 14633 16278.0
52 12939 12939 14633.0
53 11204 11204 12939.0
54 9432 9432 11204.0
55 7630 7630 9432.0
56 5803 5803 7630.0
57 3957 3957 5803.0
58 2098 2098 3957.0
59 233 233 2098.0
60 -1632 -1632 233.0
61 -3493 -3493 -1632.0
62 -5343 -5343 -3493.0
63 -7175 -7175 -5343.0
64 -8985 -8985 -7175.0
65 -10764 -10764 -8985.0
66 -12509 -12509 -10764.0
67 -14214 -14214 -12509.0
68 -15872 -15872 -14214.0
69 -17478 -17478 -15872.0
70 -19028 -19028 -17478.0
71 -20516 -20516 -19028.0
72 -21938 -21938 -20516.0
73 -23288 -23288 -21938.0
74 -24562 -24562 -23288.0
75 -25757 -25757 -24562.0
76 -26868 -26868 -25757.0
77 -27892 -27892 -26868.0
78 -28826 -28826 -27892.0
79 -29665 -29665 -28826.0
80 -30409 -30409 -29665.0
81 -31054 -31054 -30409.0
82 -31597 -31597 -31054.0
83 -32039 -32039 -31597.0
84 -32376 -32376 -32039.0
85 -32608 -32608 -32376.0
86 -32734 -32734 -32608.0
87 -32754 -32754 -32734.0
88 -32668 -32668 -32754.0
89 -32475 -32475 -32668.0
90 -32177 -32177 -32475.0
91 -31775 -31775 -32177.0
92 -31269 -31269 -31775.0
93 -30662 -30662 -31269.0
94 -29956 -29956 -30662.0
95 -29152 -29152 -29956.0
96 -28253 -28253 -29152.0
97 -27263 -27263 -28253.0
98 -26184 -26184 -27263.0
99 -25020 -25020 -26184.0
100 -23775 -23775 -25020.0
101 -22452 -22452 -23775.0
102 -21057 -21057 -22452.0
103 -19594 -19594 -21057.0
104 -18066 -18066 -19594.0
105 -16480 -16480 -18066.0
106 -14841 -14841 -16480.0
107 -13153 -13153 -14841.0
108 -11423 -11423 -13153.0
109 -9656 -9656 -11423.0
110 -7857 -7857 -9656.0
111 -6033 -6033 -7857.0
112 -4189 -4189 -6033.0
113 -2331 -2331 -4189.0
114 -466 -466 -2331.0
115 1399 1399 -466.0
116 3261 3261 1399.0
117 5113 5113 3261.0
118 6948 6948 5113.0
119 8760 8760 6948.0
120 10544 10544 8760.0
121 12293 12293 10544.0
122 14003 14003 12293.0
123 15667 15667 14003.0
124 17280 17280 15667.0
125 18838 18838 17280.0
126 20334 20334 18838.0
127 21764 21764 20334.0
128 23123 23123 21764.0
129 24407 24407 23123.0
130 25612 25612 24407.0
