
WAVE HEADER INFORMATION: simple440add1000.wav
Sample Rate:  44100 Hz
Amp Width:  2
Number of Channels:  2 channels
Number of Frames:  88200 frames
comptype :  NONE
compname :  not compressed
debug TranLossPrecent   0 1.0
debug TranLossPrecent   1 0.9942600739529567
debug TranLossPrecent   2 0.9885530946569389
debug TranLossPrecent   3 0.9828788730000322
debug TranLossPrecent   4 0.9772372209558107
debug TranLossPrecent   5 0.9716279515771061
debug TranLossPrecent   6 0.9660508789898133
debug TranLossPrecent   7 0.9605058183867307
debug TranLossPrecent   8 0.954992586021436
debug TranLossPrecent   9 0.9495109992021983
debug TranLossPrecent   10 0.9440608762859234
debug TranLossPrecent   11 0.9386420366721352
debug TranLossPrecent   12 0.933254300796991
debug TranLossPrecent   13 0.9278974901273311
debug TranLossPrecent   14 0.9225714271547631
debug TranLossPrecent   15 0.9172759353897796
debug TranLossPrecent   16 0.9120108393559098
debug TranLossPrecent   17 0.9067759645839049
debug TranLossPrecent   18 0.9015711376059569
debug TranLossPrecent   19 0.89639618594995
debug TranLossPrecent   20 0.8912509381337456
debug TranLossPrecent   21 0.8861352236594998
debug TranLossPrecent   22 0.881048873008014
debug TranLossPrecent   23 0.8759917176331172
debug TranLossPrecent   24 0.8709635899560807
debug TranLossPrecent   25 0.8659643233600653
debug TranLossPrecent   26 0.8609937521846006
debug TranLossPrecent   27 0.8560517117200946
debug TranLossPrecent   28 0.8511380382023764
debug TranLossPrecent   29 0.8462525688072693
debug TranLossPrecent   30 0.8413951416451951
debug TranLossPrecent   31 0.8365655957558101
debug TranLossPrecent   32 0.831763771102671
debug TranLossPrecent   33 0.8269895085679317
debug TranLossPrecent   34 0.8222426499470711
debug TranLossPrecent   35 0.81752303794365
debug TranLossPrecent   36 0.8128305161640993
debug TranLossPrecent   37 0.8081649291125372
debug TranLossPrecent   38 0.8035261221856173
debug TranLossPrecent   39 0.7989139416674043
debug TranLossPrecent   40 0.7943282347242815
debug TranLossPrecent   41 0.7897688493998857
debug TranLossPrecent   42 0.7852356346100718
debug TranLossPrecent   43 0.7807284401379069
debug TranLossPrecent   44 0.7762471166286917
debug TranLossPrecent   45 0.7717915155850125
debug TranLossPrecent   46 0.7673614893618189
debug TranLossPrecent   47 0.7629568911615331
debug TranLossPrecent   48 0.7585775750291838
debug TranLossPrecent   49 0.7542233958475708
debug TranLossPrecent   50 0.7498942093324559
debug TranLossPrecent   51 0.7455898720277815
debug TranLossPrecent   52 0.7413102413009175
debug TranLossPrecent   53 0.7370551753379344
debug TranLossPrecent   54 0.732824533138904
debug TranLossPrecent   55 0.7286181745132277
debug TranLossPrecent   56 0.72443596007499
debug TranLossPrecent   57 0.7202777512383408
debug TranLossPrecent   58 0.7161434102129021
debug TranLossPrecent   59 0.7120327999992025
debug TranLossPrecent   60 0.7079457843841379
debug TranLossPrecent   61 0.7038822279364568
debug TranLossPrecent   62 0.6998419960022735
debug TranLossPrecent   63 0.6958249547006052
debug TranLossPrecent   64 0.6918309709189365
debug TranLossPrecent   65 0.6878599123088076
debug TranLossPrecent   66 0.6839116472814293
debug TranLossPrecent   67 0.6799860450033223
debug TranLossPrecent   68 0.6760829753919818
debug TranLossPrecent   69 0.6722023091115668
debug TranLossPrecent   70 0.6683439175686147
debug TranLossPrecent   71 0.6645076729077796
debug TranLossPrecent   72 0.660693448007596
debug TranLossPrecent   73 0.6569011164762664
debug TranLossPrecent   74 0.6531305526474723
debug TranLossPrecent   75 0.6493816315762113
debug TranLossPrecent   76 0.6456542290346555
debug TranLossPrecent   77 0.6419482215080358
debug TranLossPrecent   78 0.6382634861905487
debug TranLossPrecent   79 0.6345999009812868
debug TranLossPrecent   80 0.6309573444801932
